x,y,urban,alarm,firetype,heatsource,objignited,day,time,dayweek,label
7.666,9.637,1,1,5,NA,NA,11,3.51666666666667,7,suspicious
7.212,10.405,1,1,5,NA,NA,19,19.0833333333333,1,other
7.624,12.28,1,4,6,NA,NA,17,23.1333333333333,6,other
8.196,12.114,1,1,1,7,1,1,5.88333333333333,4,suspicious
8.225,11.179,1,1,3,7,7,27,0.616666666666667,2,suspicious
8.007,11.979,1,1,5,NA,NA,39,2.25,7,suspicious
5.968,9.514,1,1,5,NA,NA,12,11.4,1,other
7.694,10.613,1,1,5,NA,NA,56,20.5,3,other
7.715,12.085,1,1,5,NA,NA,45,23.75,6,suspicious
5.52,11.293,0,1,3,4,7,55,17.0833333333333,2,other
7.758,11.578,1,4,5,NA,NA,59,1.51666666666667,6,suspicious
7.174,10.763,1,1,3,7,7,1,3.08333333333333,4,suspicious
8.548,12.704,1,1,5,NA,NA,4,6.7,7,other
6.333,9.507,0,1,3,7,7,5,19.9666666666667,1,suspicious
12.462,22.005,0,1,3,5,7,2,12.6,5,other
13.19,8.688,0,1,1,9,7,83,8.5,2,other
5.634,5.993,0,1,5,NA,NA,9,11.3333333333333,5,other
7.874,12.061,1,1,1,4,6,10,6.18333333333333,6,other
11.647,14.949,0,1,2,7,9,81,16.4666666666667,7,suspicious
7.483,11.043,1,1,1,7,1,46,7.91666666666667,7,suspicious
7.403,12.184,1,1,3,7,7,52,17.7166666666667,6,suspicious
8.473,10.857,1,1,2,7,9,85,20.8833333333333,4,suspicious
7.623,12.725,1,1,1,5,7,96,15.2833333333333,1,other
7.395,12.166,1,1,1,7,1,100,12.9833333333333,5,other
9.107,11.166,1,1,1,NA,9,21,8.98333333333333,3,other
7.212,10.405,1,1,5,NA,NA,29,6.18333333333333,4,other
7.403,12.184,1,1,1,9,8,52,17.7166666666667,6,other
8.073,10.494,1,1,3,7,7,94,3.11666666666667,6,suspicious
8.021,10.878,1,1,6,NA,NA,102,2.46666666666667,7,suspicious
7.515,11.768,1,5,1,5,7,58,11.4,5,other
8.844,17.604,0,1,1,5,7,42,14.9833333333333,3,other
12.91,9.4,0,4,1,2,7,59,5.83333333333333,6,other
7.881,11.471,1,1,1,NA,NA,75,11.9,1,other
6.51,12.15,1,4,3,NA,NA,88,16.9833333333333,7,other
7.555,12.433,1,1,5,NA,NA,31,19.8166666666667,6,other
9.038,12.598,1,1,6,NA,NA,45,4.25,6,suspicious
7.174,10.763,1,1,6,NA,NA,118,22.6666666666667,2,suspicious
6.622,9.248,1,1,5,NA,NA,142,14.25,5,other
13.19,8.688,0,1,5,NA,NA,83,8.5,2,other
5.967,9.511,1,4,5,NA,NA,66,17.1,6,suspicious
9.843,10.975,0,1,1,9,7,117,20.35,1,other
6.857,10.465,1,1,1,9,5,162,19.75,4,other
7.605,10.856,1,1,1,7,9,87,2.56666666666667,6,suspicious
8.153,10.586,1,1,6,NA,NA,94,3.06666666666667,6,suspicious
5.951,11.797,1,1,1,NA,9,98,7.7,3,other
6.409,11.751,1,1,5,NA,NA,108,17.5,6,other
1.41,8.883,0,1,3,1,7,83,9.46666666666667,2,other
14.948,23.84,0,1,3,1,7,55,8.48333333333333,2,other
6.925,10.307,1,1,2,4,6,157,16.7333333333333,6,other
8.473,10.857,1,1,3,9,7,85,20.8833333333333,4,other
8.902,15.056,0,1,1,7,7,187,17.7166666666667,1,other
